"序号","id","主题","类型","重要性","结论","引用","可定位","截断","非显然(是/否)","幻觉(有/无)","importance合理(是/否)","备注"
"11","ins_batch_98e354bd_0","t_rag","aggregation","4","两项并行研究从分块策略和嵌入模型两个维度系统考察了高棉语（Khmer）这一低资源、非拉丁文字语言的 RAG 管线：一项发现基于字符的 Recursive 分块方法（300 字符块大小）在答案相关性和检索距离上均优于 Khmer 感知型、句子型及 LLM 型分块方案；另一项发现 BGE-M3 在高棉语文档的密集检索中持续表现最优，并指出检索器选择仍是高棉语 RAG 的主要瓶颈。","[ci_rag_4] In this study, we compare the performance of four text chunking approaches: Recursive, Khmer-Aware, Sentence-Based, and LLM-Based within a Retrieval-Augmented Generation (RAG) framework applied to Khmer agricultural documents.  ‖  [ci_rag_5] Its efficacy, however, remains largely unexamined for low-resource, non-Latin-script languages such as Khmer. We benchmark three embedding models for dense retrieval over Khmer documents; BGE-M3 consistently performs best. These findings highlight that retriever choice remains a major bottleneck for Khmer RAG.  ‖  [ci_rag_4] We observe the best performance for the character-based Recursive chunking method with a chunk size of 300 characters, achieving the lowest L2 distance (0.4295 +- 0.0461), highest Answer Relevance (0.8663 +- 0.0199), and highest Khmer IoU (0.6441 +- 0.0347)","是","","","","",""
"12","ins_batch_98e354bd_1","t_rag","aggregation","4","一项针对高风险医疗问答场景的研究提出了","[ci_rag_2] Medical RAG systems in high-risk QA settings are often evaluated through a single answer-or-abstain decision, but mixed evidence may support one claim, require conditions for another, and contradict a third. We study claim-selective certification: each response is decomposed into verifiable claims, scored against retrieved evidence, and mapped by an intent-aware selector to full, partial, conflict, or abstain.  ‖  [ci_rag_2] The full system records action accuracy of 0.9204 on dev and 0.8997 on test.","是","是","","","",""
"13","ins_batch_98e354bd_2","t_rag","aggregation","3","NasZip 通过软硬件协同设计加速近似最近邻搜索（ANNS），在同等精度下相比 CPU 基线实现最高 8.4 倍加速、相比当前最优 GPU 实现实现最高 1.4 倍加速，旨在缓解 RAG 中高维向量距离计算的内存瓶颈。","[ci_rag_1] Central to RAG is approximate nearest neighbor search (ANNS), which retrieves database vectors most similar to a given query. However, distance calculation over high-dimensional vectors is inherently memory-bound.  ‖  [ci_rag_1] With co-optimized techniques, NASZIP delivers speedups of up to 8.4x / 1.4x over CPU baseline and state-of-the-art GPU implementation at equal accuracy.","是","","","","",""
"14","ins_batch_98e354bd_3","t_rag","aggregation","3","Web Content Extraction Benchmark（WCXB）覆盖 2,008 个网页和 7 种页面类型的评测发现，顶级网页内容提取系统在文章类页面上 F1 达 0.93 趋于一致，但在结构化页面类型上 F1 仅为 0.41–0.84，暴露出现有仅基于文章的基准无法发现的盲区，这对以网页抓取为数据源的 RAG 管线的内容质量构成潜在影响。","[ci_rag_3] Web content extraction - isolating a page's main content from surrounding boilerplate - is a prerequisite for search indexing, retrieval-augmented generation, NLP dataset construction, and large language model training.  ‖  [ci_rag_3] We find that while top systems converge on articles (F1 = 0.93), performance diverges sharply on structured page types (F1 = 0.41-0.84), revealing blind spots invisible to existing article-only benchmarks.","是","","","","",""
"15","ins_batch_ef154d5d_0","t_agent_eval","aggregation","5","当前 LLM Agent 评测在规范透明度和评价维度上均存在系统性缺陷：一项针对十二篇知名 benchmark 论文的审计显示，Agent 类 benchmark 论文的平均审计得分仅为 0.38（满分 1.0），远低于经典静态 benchmark 的 0.66，且八篇 Agent benchmark 论文均未以任何形式披露推理成本；另一项工作则指出，现有 Agent 评测碎片化严重，单一准确率列已不再是可部署 Agent 的合适比较单元。","[ci_eval_1] The mean audit score across the eight agent-benchmark papers is 0.38 (out of 1.0), and across the four classical static benchmarks 0.66; the largest gap is on cost (none of the eight agent benchmark papers disclose inference cost in any form).  ‖  [ci_eval_2] the benchmarks used to evaluate them are fragmented. A line of 2024-2025 work has converged on the diagnosis that a single accuracy column is no longer the right unit of comparison for deployable agents.","是","","","","",""
"16","ins_batch_ef154d5d_1","t_agent_eval","aggregation","4","AgentAtlas 研究发现，移除显式标签菜单后，所有模型的轨迹准确率下降 14–40 个百分点，收敛至 0.54–0.62 的窄幅区间且不受模型族影响，同时没有任何单一模型能在控制准确率、轨迹诊断和工具上下文效用保持三项指标上同时领先。","[ci_eval_2] Removing the explicit label menu drops every model's trajectory accuracy by 14-40 pp to a tight 0.54-0.62 floor regardless of family, and no single model wins on all three of control accuracy, trajectory diagnosis, and tool-context utility retention.","是","","","","",""
"17","ins_batch_ef154d5d_2","t_agent_eval","aggregation","3","近期 Agent 评测工作正向更精细的数据质量和领域特定真实任务方向演进：SynAE 框架指出在工具调用 Agent 评估中越来越多地使用合成数据来替代或补充真实数据集，并证明没有单一指标能充分刻画合成数据质量；SMDD-Bench 则构建了包含 502 个保证可解的多轮长周期小分子药物设计任务实例，其中表现最优的 GPT5.4 仅解决了 40.2% 的任务。","[ci_eval_3] practitioners are increasingly replacing or augmenting real datasets with synthetic ones for evaluation purposes. SynAE detects fine-grained variations in data validity, fidelity and diversity, and shows that no single metric is sufficient to fully characterize synthetic data quality.  ‖  [ci_eval_4] We introduce SMDD-Bench, a challenging, multi-turn, long-horizon agentic benchmark consisting of 502 guaranteed-solvable task instances spanning 5 task types.","是","","","","",""
"18","ins_batch_ef154d5d_3","t_agent_eval","aggregation","3","Agent 系统的评测关注点正从纯任务准确率扩展至效率与自适应能力：Mem-pi 框架在覆盖网页导航、终端工具使用和文本交互的多类 Agent benchmark 上相较检索式和 RL 优化记忆基线均有提升，在网页导航任务上实现超过 30% 的相对改进；另有工作通过时间语义缓存和 MCP 工作流优化将中位端到端延迟降低约 40.0%，缓存命中时实现 30.6 倍中位加速。","[ci_eval_5] Across diverse agentic benchmarks spanning web navigation, terminal-based tool use, and text-based embodied interaction, Mem-pi consistently outperforms retrieval-based and prior RL-optimized memory baselines, achieving over 30% relative improvement on web navigation tasks.  ‖  [ci_eval_6] MCP workflow optimizations corresponded to a 1.67x speedup and reduced median end-to-end latency by about 40.0% while the temporal-cache benchmark achieved a median of 30.6x speedup on cache hits.","是","","","","",""
"19","ins_batch_1850dc1c_0","t_llm_inference","aggregation","4","MoE架构模型的推理资源效率成为多项研究的独立优化目标：PALS 将 GPU 功耗上限作为一等控制手段，在 MoE 模型上能效提升最高 26.3%、QoS 违规降低 4–7 倍；TIDE 利用扩散式 LLM 中专家激活的时间稳定性，通过 I/O 感知的专家卸载在 LLaDA2.0-mini 和 LLaDA2.0-flash 上分别实现最高 1.4 倍和 1.5 倍吞吐量提升，且为无损优化。","[ci_inf_1] We present a power-aware runtime for LLM serving, PALS, that treats GPU power caps as a first-class control knob. Across multi-GPU systems and both dense and mixture-of-experts models, PALS improves energy efficiency by up to 26.3%, reduces QoS violations by 4x to 7x under power constraints, and tracks dynamic power budgets.  ‖  [ci_inf_6] We propose TIDE, a novel resource-efficient inference system that leverages the temporal stability of expert activations during the diffusion process. TIDE is a lossless optimization that requires no model training. We demonstrate that TIDE achieves up to 1.4x and 1.5x throughput improvements over prior baselines on LLaDA2.0-mini and LLaDA2.0-flash models, respectively.","是","","","","",""
"20","ins_batch_1850dc1c_1","t_llm_inference","aggregation","4","一种分层 KV cache 量化架构被提出，在 GPU 显存中存储 INT8 键和 INT4 值，同时在系统内存中保留 FP16 原始数据用于确定性回退，实现逐注意力头、逐步的运行时有界误差认证；该认证为局部保证，不覆盖端到端模型正确性，但确保每次注意力计算相对 FP16 参考有界或通过回退精确恢复。","[ci_inf_4] KV cache quantization reduces the memory cost of long-context LLM inference, but introduces approximation error that is typically validated only empirically. We present a tiered KV cache architecture that enables runtime-certified attention: INT8 keys and INT4 values are stored in GPU memory, while FP16 originals are retained in system RAM for deterministic fallback.  ‖  [ci_inf_4] The certification is local (per-head, per-step) and does not guarantee end-to-end model correctness, but ensures that each attention computation is either bounded relative to an FP16 reference or exactly recovered via fallback.","是","","","","",""
"21","ins_batch_1850dc1c_2","t_llm_inference","aggregation","3","多项研究探索在资源受限环境下提升 LLM 推理效率：LlamaWeb 基于 WebGPU 为 llama.cpp 提供浏览器端后端，在 8 家厂商的 16 台设备上实现内存降低 29–33%、解码吞吐量提升 45–69%；DASH 在单张 RTX Pro 6000 GPU 上仅用约 20 分钟和 12.3M token 完成混合注意力架构搜索，搜索 token 量仅为 Jet-Nemotron 报告值的 0.006%。","[ci_inf_5] We present Llamas on the Web (LlamaWeb), a WebGPU backend for llama.cpp. We evaluate LlamaWeb on 16 devices from 8 vendors. We find that LlamaWeb requires 29-33% less memory across several combinations of device, browser, and operating system, and increases decode throughput by 45-69% across four GPUs from separate vendors.  ‖  [ci_inf_3] We introduce DASH, a fast differentiable search framework for hybrid attention architecture design. Each DASH search run uses only 12.3M tokens and takes about 20 minutes on a single RTX Pro 6000 GPU, corresponding to merely 0.006% of the PostNAS search tokens reported by Jet-Nemotron.","是","","","","",""
"22","ins_batch_1850dc1c_3","t_llm_inference","aggregation","3","针对现代 LLM 推理服务中分离执行、复杂并行和有状态负载等复杂部署形态，离散事件模拟器 Frontier 在 16-H800 GPU 测试平台上将平均吞吐误差控制在 4% 以下，在共置场景下端到端延迟误差从此前 44.9% 降至 6.4%，在分离部署场景下从 51.7% 降至 2.6%。","[ci_inf_2] We present Frontier, a discrete-event simulator for modern LLM inference serving. On a 16-H800 GPU testbed, Frontier achieves an average throughput error below 4%. Compared with state-of-the-art simulators, it reduces end-to-end latency error from 44.9% to 6.4% under co-location and from 51.7% to 2.6% under disaggregation.  ‖  [ci_inf_2] Modern LLM serving is no longer homogeneous or monolithic. Production systems now combine disaggregated execution, complex parallelism, runtime optimizations, and stateful workloads.","是","","","","",""
